"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
11-Apr-2026	3:04	KYBANS INDIA PRIVATE LIMITED 	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986181537?eschref=%2Fcontacts%2F44403767%2Frecord%2F0-2%2F53591969861	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=821849793#gid=821849793	https://docs.google.com/spreadsheets/d/1KNA3skNawnKwrtNADZOe-gALfjqD3QPr1xll1Dttzvk/edit?gid=870349107#gid=870349107	5	15-20	7	138						Not Hired																																
13-Apr-2026	2:47	Chirpn IT Solutions	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58955695228/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=2094354762#gid=2094354762	https://docs.google.com/spreadsheets/d/1CYuSwvF3tRL9BOIQcpINBr1vCG_GELNiES0AszGVQiU/edit?gid=0#gid=0	2	8	6	138		20				Hired							Full Stack Development	React.js , Node.js	Python , SQL	6k	Remote	6 Months 	5 days a week (9AM - 6PM )																			
13-Apr-2026	5:3	Welleazy - Python Developer Intern	Keerthana	No Student Eligble	https://app.hubspot.com/contacts/44403767/record/0-3/58254690318/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1277344116#gid=1277344116		4	16		138						Not Hired							Python Intern 	Python , Django , Rest APIs , Postgre SQL	Fast APIs , Flask 	10k to 15k 	Bengaluru 	6 Months 	6 days a week (flexible between 9:30 AM and 7:30 PM. )																			
14-Apr-2026	2:31	Mana AI	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58246340172	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=251111269#gid=251111269	https://docs.google.com/spreadsheets/d/1vWGQOxiMrH4ZgZDbOGIDCm_4c6V22pYoKlW7tOa38Ac/edit?gid=0#gid=0	NA	9	4	138						Not Hired							AI Engineer Intern	GenAI	Python	10k	Hyderabad	3 Months	5 days a week,9-6																			
14-Apr-2026	3:14	AvinyaSQ	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58963855163	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=546771199#gid=546771199	https://docs.google.com/spreadsheets/d/1z6_7xoyKmwBtakGOiIYagLLRfdzj7RmbkKKOHF2ljR8/edit?gid=0#gid=0	3	6	6	138						Not Hired							Software Development Engineering (Web)	React.js , Node.js	MongoDB , Express.js	10k	Remote	3-6 Months 	6 days a week (flexible 8 hrs . )																			
14-Apr-2026	5:17	Taxsafar	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59157128496/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1802880792#gid=1802880792	https://docs.google.com/spreadsheets/d/15Fh-aA795Ml7oo6rZTU0G2yajvbsJbOB2tUh0DIwkVU/edit?gid=95884983#gid=95884983	3	12	11	138						Not Hired							Mern Intern	React.js	Node.js , Python 	5k	Remote	3 Months 	5 days a week (9AM - 6PM )																			
15-Apr-2026	5:18	MECNTEC	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59184043117/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1602037688#gid=1602037688	https://docs.google.com/spreadsheets/d/1LPqKHXp9KsepM2lowBcRiGW_V7A-YmzITu0KXEIRhSo/edit?gid=79755288#gid=79755288	5	15	9	138						Hired							SDE Intern	Node.js , React.js , Express.js , MongoDB , Next.js	Python	10k	Remote	6 Months	5 days a week (Flexible but tasks need to be submitted within the given deadline)																			
16-Apr-2026	11:28	Strux Digital	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59157121334/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=954917024#gid=954917024	https://docs.google.com/spreadsheets/d/1t9EnQ0nr3M8pqqQKPblblgQSwflpYxa6LfkGR8Pz5zs/edit?gid=95884983#gid=95884983		4	4	138						Not Hired							AI Intern	GenAI	Python , React.js 	10k	Hyderabad	3 Months 	5 days a week (9AM - 6PM )																			
16-Apr-2026	11:46	LegitBytes	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59086960930/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1001919035#gid=1001919035	https://docs.google.com/spreadsheets/d/1QHV-fQTlmlat1OYu6E15XfQj3x6gX1SWoja4O97DyLU/edit?gid=95884983#gid=95884983	2	4	5	138						Not Hired							AI Intern	GenAI	Python , React.js 	10k	Remote	2 Months	5 days a week (9AM - 5PM )																			
16-Apr-2026	6:17	KoinX	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59186379341?eschref=%2Fcontacts%2F44403767%2Fobjects%2F0-3%2Fviews%2Fall%2Flist%3Fprefetch%3D&initialCardsReadyMarkerExtension=PREFETCH	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=24393139#gid=24393139	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1032102594#gid=1032102594	2	2	14	138						Not Hired							Frontend Intern 	React.js , Next.js	Python , React.js 	20k	Remote	6 Months 	5 days a week																			
17-Apr-2026	11:20	Happy People	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59186405788/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=864442678#gid=864442678	https://docs.google.com/spreadsheets/d/1iVmZgOHjavqGYJGNYcFQ-il08jaS6lZbgq5OeTBn6A0/edit?gid=0#gid=0	1	2	3	138						Not Hired							Mern Intern	Node.js , React.js , Express.js , MongoDB 	Python	5l	Remote	6 Months 	6 days a week (10 AM - 7PM )																			
21-Apr-2026	10:27	Popaya Technologies	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58949625759	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1376681970#gid=1376681970	https://docs.google.com/spreadsheets/d/1wBbhe0fhKJ4kIjdb6yYuzhiVey3QlDQ98k3BNbGp3D8/edit?gid=0#gid=0	5	8-10	2	138						Not Hired							SDE Intern	Node.js , React.js , Express.js , MongoDB 		10k - 12k	Mumbai	3-6 Months 	6 days a week (11 AM - 8PM )																			
21-Apr-2026	12:21	NeuroVerse	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59369981880/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1368708403#gid=1368708403	https://docs.google.com/spreadsheets/d/1ocnAVu01vEhpamyAQrq9Oen4YhoDAV2j5_qBYF_Ks00/edit?gid=0#gid=0	2	3	5	138						Not Hired							Software Engineer Intern	Node.js , React.js , Express.js , MongoDB 		10k - 15k	Remote	6 Months	5 days a week ( Flexible )																			
21-Apr-2026	1:53	Inorbvict Healthcare India Private Limited	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59144221587/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=91438227#gid=91438227	https://docs.google.com/spreadsheets/d/1s5qLxjeYS3Ab2WPt-_BUJF3lLrSI4L8a8vIQJWExXvA/edit?gid=0#gid=0	3	6	5	138						Not Hired							Python AI Intern 	Python, LLM, RAG, Agentic AI, 	Java Script																							
21-Apr-2026	4:33	Stellarbyte	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798301258/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=699025171#gid=699025171	https://docs.google.com/spreadsheets/d/1QaY9LpxqpFUP3r_wF8ezc0XiXU3uHuo-4bgz2V-h0ZQ/edit?gid=95884983#gid=95884983	2	3	4	138						Not Hired							Full Stack Engineer	Java script , python 		10k - 15k	Remote	6 Months	6 days a week (12 PM - 8PM )																			
23-Apr-2026	11:52	Kritsnam Technologies	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59419351208/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1105096334#gid=1105096334	https://docs.google.com/spreadsheets/d/1uUz1hnbOPxbz9JjB8O9q6gI_2G523UTcnz39kCg1DiE/edit?gid=95884983#gid=95884983	1	3	3	138						Not Hired							Python Intern 	Python	Selenium	15k	Hyderabad	6 Months	6 days a week (10 AM - 7PM )																			
23-Apr-2026	5:57	Aipex Worldwide OPC Pvt Ltd	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59419169140/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=570021365#gid=570021365	https://docs.google.com/spreadsheets/d/1iZ_twdBmJWObiQMULe1TLiYlBi1WFiRQriL2DBD9Fso/edit?gid=95884983#gid=95884983	2	4	1	138						Not Hired							Node.js Intern 	Node.js	Python	15k	Mumbai 	6 Months	5 days a week (9AM- 6PM )																			
23-Apr-2026	5:21	Unosecur	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59419357279/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=796991340#gid=796991340	https://docs.google.com/spreadsheets/d/1fkdnXZuqSKtW4iMCl45nPymC0oPzj3fAquv3qqmUkkI/edit?usp=sharing	1	4	3	138						Not Hired							Frontend Intern	React	Python	15k	Bengaluru	6 Months	5 days a week (9AM- 5PM )																			
24-Apr-2026	6:09	Intaskr	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59545488027	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=996038963#gid=996038963	https://docs.google.com/spreadsheets/d/1-5vqwbgoK5ffPuAdxxE-hAwwKQQ8oEwhjwok3RRz5R0/edit?usp=sharing	2	8	8	138						Hired							Mern Intern	Node.js , React.js , Express.js , MongoDB 		6k to 8k	Remote	6 Months	6 days a week (Flexible )																			
25-Apr-2026		Eva Software	Keerthana	Shared Profiles with CRM		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=345105886#gid=345105886		NA	NA	4	138						Hired							Trainee - Zoho Implementation	Zoho CRM tools		10k	Remote	6 Months	6 days a week (9AM - 6PM)																			
27-Apr-2026	4:00	SnapLearn	Keerthana	Shared Profiles with CRM	http://app.hubspot.com/contacts/44403767/record/0-3/59644540069/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=409534731#gid=409534731	https://docs.google.com/spreadsheets/d/1fuhKVEXjwB36tP8BqW71IKFjOio66BhegubzzKwfq94/edit?gid=95884983#gid=95884983	2	4	6	138						Hired							Full-Stack Developer Internship	Python , React , AI/ML	Fast APIS	10k	Remote	6 Months	6 days a week (Flexible )																			
28-Apr-2026	2:34	Sumfactor Software Pvt Ltd	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59728216326/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=869229133#gid=869229133	https://docs.google.com/spreadsheets/d/1hGVd8VNR8dmjVHLvdh0XjnGo6vTuXPjV3r3Eu-FlJ0k/edit?gid=0#gid=0	2	4	4	138						Hired							Frontend Developer	React.js	Next.js , Python 	12k to 15k	Remote	6 Months	5 days a week (9AM- 6PM )																			
28-Apr-2026	11:03	KoinX Backend	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59728152075/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1993421677#gid=1993421677	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=154630820#gid=154630820	2	3	4	138																																						
29-Apr-2026	12:42	Lume	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59728281741/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=988955383#gid=988955383	https://docs.google.com/spreadsheets/d/1TwMDNMAlg4YvQXBIn70Em9cyMrbMnhu4w2tLH_3xr5M/edit?gid=95884983#gid=95884983	1	5	5	138						Not Hired							Software Development Engineer Intern	Node.js , React.js , java script , SQL , Rest APIS	Type Script , Next.js	10k	Remote	1-3 Months	6 days a week (9AM - 6PM)																			
29-Apr-2026	3:51	Whatnot India Private Limited	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59728126576/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1941552335#gid=1941552335	https://docs.google.com/spreadsheets/d/1VomqduDK9glTpud7AfBLkPEePHBaBUtJ76ULzNLrZX8/edit?gid=95884983#gid=95884983	2	4	1	138						Not Hired							Frontend Intern	React.js	Python , Java script	10k	Hyderabad	6 Months	6 days a week (10:30AM - 7PM)																			
5-May-2026	4:16	iKrux Engineering	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60027527032/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1773511330#gid=1773511330	https://docs.google.com/spreadsheets/d/1spOhJYzIjCRCGm1P0QTBtN5s0JHYV_UqmeVTSh7n6E4/edit?gid=95884983#gid=95884983	1	2	2	137						Not Hired							Full Stack	React.js , Node.js , Express.js , MongoDB, Django , Python		17k	Remote	3 Months	6 days a week (10AM - 7PM)																			
12-May-2026	10:31	Shris Tech	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60177852258/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1744906414#gid=1744906414	https://docs.google.com/spreadsheets/d/10Y-97HEc0hhZdp0A4R3-axNRJ7siGltkr_9Iuu5lKM8/edit?usp=sharing	1	6	6	137						Not Hired							Backend Intern	Node.js 	Python	5k	Remote	3 Months	5 days a week (9AM to 5PM)																			
14-May-2026	2:36	Evo11ve.ai	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60242517348	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=471712134#gid=471712134	https://docs.google.com/spreadsheets/d/19StXbsPvetmbBWKsrcZwiPW34xpEip8YR7ZlmixFS4c/edit?gid=0#gid=0	2	8	8	137						Hired							MERN	Python ,Node.js , React 	SQL	5k	Remote	3 Months	5 days a week (9AM to 6PM)																			
14-May-2026	3:28	Wokay	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60068884094/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=757975787#gid=757975787	https://docs.google.com/spreadsheets/d/1eXQskjKoIyLNFmE4LObLF9kvq2RBm-rePXMeRX8QNTc/edit?gid=0#gid=0	2	4	6	137						Not Hired							Full Stack	React.js , Node.js , Express.js , MongoDB, Django , Python		15k to 25k	Hyderabad	6 Months	6 days a week (10AM - 7PM)																			
15-May-2026	1:10	Office Solution	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60259032459?eschref=%2Fcontacts%2F44403767%2Frecord%2F0-2%2F22670492969	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1088762994#gid=1088762994	https://docs.google.com/spreadsheets/d/13bGNLw63gt5skE1JyegQoC8d7VUvNJZRY5YeN6Tg0B0/edit?gid=95884983#gid=95884983	2	5								Drop							Frontend Intern	React.js	Python	5k	Remote	6 Months	6 days a week (10AM - 7PM)																			
15-May-2026	1:10	Office Solution	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60259031708?eschref=%2Fcontacts%2F44403767%2Frecord%2F0-2%2F22670492969	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1088762994#gid=1088762994	https://docs.google.com/spreadsheets/d/13bGNLw63gt5skE1JyegQoC8d7VUvNJZRY5YeN6Tg0B0/edit?gid=1146743214#gid=1146743214	2	5	6							Drop							Backend Intern	Python , Flask 	Fast APIs	5k	Remote	6 Months	6 days a week (10AM - 7PM)																			
15-May-2026	6:27	AirFi	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60177709369/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1703298569#gid=1703298569	https://docs.google.com/spreadsheets/d/1fgqfr08VVEpiqFdTeHV12L5lhMbLocOWFQ3basTRwKc/edit?gid=95884983#gid=95884983	1	3	4							Drop							AI / ML	Gen AI / Python	SQL 	10k	Hyderabad	6 Months	5 days a week (9AM to 6PM)																			
15-May-2026	6:24	FactuOn	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60270813785/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1014207705#gid=1014207705	https://docs.google.com/spreadsheets/d/10HBBdm3ww-pXUuM8ZCNztFUqnkuGsilT5XCiBCIgDws/edit?gid=0#gid=0	2	8	8							Not Hired							Mern Intern	Python , React..js , Node.js	SQL 	5k	Remote	6 Months	5 days a week (9AM to 6PM)																			
18-May-2026	2:19	Clustor Computing	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60298256393/		https://docs.google.com/spreadsheets/d/14f1SFPx-HH2zALKK1qUXch5UFQ9qtLtC1R_6kyE-1ek/edit?gid=0#gid=0	3	12	11							Drop							Backend Developer Intern	Node.js , Python	SQL , Java Script , MongoDB,Boot strap	5k	Remote	3-6 Months	5 days a week (9AM to 6PM)																			
18-May-2026		Vinencia	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60322296920	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=581781629#gid=581781629	https://docs.google.com/spreadsheets/d/1YLq8REFn_FlwaH8CD6NfQ0sEb9HzpxNUHL_oNM8Krf8/edit?gid=0#gid=0	2	4	2							Yet To Schedule Interviews							Gen AI 	Gen AI 	Python	10k	Hyderabad	6 Months	5 days a week (9AM to 6PM)																			
18-May-2026		My Apps Development	Akshita	Shared Profiles with CRM		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1139287942#gid=1139287942	https://docs.google.com/spreadsheets/d/1iTqxFohl27SuqRSinxKRH7eQzfASZ7uJoctArm3XALw/edit?gid=95884983#gid=95884983	2		3							Drop							Full Stack	Flutter		10k	Hyderabad	6 Months																				
18-May-2026	6:00	Zysk Technologies	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60250460768/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=570347787#gid=570347787	https://docs.google.com/spreadsheets/d/1ASqmNrvZ7rFm21spcWunkbKumlZ9-dha6F5IrKPJFPM/edit?gid=95884983#gid=95884983	4	6	6							Drop							Mern	Mern , Node.js , Next.js		15k	Banglore	6 Months	5 days a week (9AM to 6PM)																			
19-May-2026	2:16	Eve Healthcare	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60324991846/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1038894281#gid=1038894281	https://docs.google.com/spreadsheets/d/1V863Xvx_g4ulCrXgby8nb8J9wIbiWDELws9wnsHC9DY/edit?usp=sharing	1	5	5							Drop							Backend Intern	React.js , Node.js	Python	5k	Remote	3-6 Months	5 days a week (9AM to 6PM)																			
19-May-2026	2:16	Eve Healthcare	Kathyayini	Shared Profiles with CRM	"https://app.hubspot.com/contacts/44403767/record/0-3/60336295479/
HubSpot
 "	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1038894281#gid=1038894281	https://docs.google.com/spreadsheets/d/1V863Xvx_g4ulCrXgby8nb8J9wIbiWDELws9wnsHC9DY/edit?gid=1224609000#gid=1224609000	1	2	2							Drop							AI Intern	Gen AI	Python	5k	Remote	3-6 Months	5 days a week (9AM to 6PM)																			
19-May-2026	4:29	Kasplo	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60343702337/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1572754361#gid=1572754361	https://docs.google.com/spreadsheets/d/1d7KkkFfbhb1FIhq-LxROf5-ikNj47FsB8eVz5kaD7DY/edit?usp=sharing	2	8	7							Hired							Mern Intern	React.js , Node.js	Python , SQL 	10k 	Banglore	3-6 Months	5 days a week (9AM to 6PM)																			
19-May-2026	4:35	WeCareXM	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60343317389	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1242253062#gid=1242253062	https://docs.google.com/spreadsheets/d/1LSCQPrfVNjycC9zUCS57ycc8PvwD1zz3xNkbGzCfms0/edit?usp=sharing	2	6	1							Drop							AI Intern	Gen AI		10k	Kochi 	1-3 Months	6 days a week ( 10 AM to 7 PM)																			
20-May-2026	12:00	Pashudhanqr	Keerthana	Shared Profiles with CRM	Un offlical	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=709546959#gid=709546959	https://docs.google.com/spreadsheets/d/1l7upEkAMvi49FJxy9lWIgLVb7SdWFCjGHgoErj6U--M/edit?usp=sharing	1	4	4							Hired							AI Intern			15k	Remote 	1 Month																				
20-May-2026	3:56	This Week in AI	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60343452851/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=594164070#gid=594164070	https://docs.google.com/spreadsheets/d/1KNtj9N3Q135W-ZfHVeF7Jr3jKp9t8PVkA-AxcyVvfSs/edit?gid=0#gid=0	2	4	6							Hired							AI Intern	Gen AI , Agentic AI 	Python	5k	Remote	2 Months	5 days a week (9AM to 6PM)																			
20-May-2026	4:09	GharPayy	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60337132293/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=130771551#gid=130771551	https://docs.google.com/spreadsheets/d/1vlW3XclPFWXtKn7OAQwRy3cRcFGYHiLpUOwQ6GNQItI/edit?gid=0#gid=0	2	12	5														Mern Full stack	React.js , Node.js	Python , SQL 	10k	Banglore	6 Months	5 days a week (9AM to 6PM)																			
20-May-2026	5:37	Uniserved	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60353217637/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1337310169#gid=1337310169	https://docs.google.com/spreadsheets/d/1Kag4Z8zGm36M8O3fOLmV2d0yJUmdTiUfVthbEwtJ-DQ/edit?gid=0#gid=0	3	8	5							Hired							Python Intern	Python	SQL , Java Script	5k	Remote	3 - 6 Months	5 days a week																			
20-May-2026	6:29	Sateek Insights	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60353220754/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=50794657#gid=50794657	https://docs.google.com/spreadsheets/d/16jLs11MdALiINluUzqtU5e51fg9NRpN8q_ddgTL5Nmk/edit?gid=0#gid=0	1	4	4							Drop							Mern Intern	React.js , Node.js	Python	10k	Banglore	6 Months	5 days a week (9AM - 6PM)																			
21-May-2026		Soundverse AI	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60182308407	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1995302653#gid=1995302653	https://docs.google.com/spreadsheets/d/1qvx6yFzx92gFvY4KcWHNAY6LfIXPiwXCcVLI4dzHZmI/edit?gid=0#gid=0	2	6	4							Not Hired							AI Intern	Gen AI , Python 		3k	Remote	3 Months	5 days a week (9AM - 6PM)																			
