"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
18-Mar-2026	4:16	Vindago Innovations	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/12QdfhlyyOddKUFLyjTolkLZY5bdHFh6JxoitxZpWGd4/edit?gid=95884983#gid=95884983&range=A2		2	2							Hired							Frontend Intern	React js		10K	Hyderabad, Remote	6 Months	5 days a week, 10AM to 7PM																			
19-Mar-2026	5:06	Herdsman Development 	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1de0BoF8MLXpWaYBowM1BZYJJW2zdU289K2NcCQuS1Bc/edit?gid=783017793#gid=783017793		3	3							Not Hired							Full stack developer intern	React js, MongoDB, Node js, Express.js, Java, Spring Boot	JavaScript, Python, CSS, HTML	15K	Remote	6 Months	6 days a week, 9 to 6																			
19-Mar-2026	5:30	TheWordOfMouth	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1RXM6YfqB8kz40YEaEFbO8m9kKrY8fBvjvnr-_kbmK3E/edit?gid=95884983#gid=95884983		8	8							Not Hired							Frontend Developer Intern	React js, CSS, Tailwind CSS, HTML, JavaScript	Python, SQL	5K to 10K	Remote	6 Months	6 days a week, 9 to 6																			
20-Mar-2026	11:14	Ride Evee	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1WzTA0NlIXfZfgXJ6_dEZuEG-110v3-nR0jrwoNgSmD0/edit?usp=sharing		4	1							Not Hired							Next.js Intern	Next.js, CSS	Python	5K	Remote	3 Months	6 days a week, 10-7																			
23-Mar-2026	9:50	Carousell Group	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1rkIVfJqhua9fTif4fJC1sIFDnzoEbMWQ83je1TCJb5c/edit?gid=0#gid=0		4	4							Not Hired							Backend, Frontend	React js ,Backend Intern (Go / Node.js / Java)		50k	Remote	6 Months	5 Days/Week (10 AM – 7 PM)																			
23-Mar-2026	2:22	Scriptures Research And Development	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58157048682		https://docs.google.com/spreadsheets/d/1r_dY8Z2JjoP6HYJ5UjLnd943UqWzUlbupSzNdkfyYjI/edit?gid=0#gid=0		6	5							Not Hired							MERN	MERN		5k to 8k	Remote	6 Months	6 days & full time																			
24-Mar-2026	3:53	Gogagga Holidays	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1lrWazcxbwdT-R-uVpf6uK3tSMU8N_C_kJ6UkeEp4kfI/edit?gid=0#gid=0		3	3							Hired							Frontend Developer Intern	React js, JavaScript		12k to 15K	Hyderabad	3 Months	6 days a week,10 - 6																			
26-Mar-2026	11:15	SortWind Private Limited	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/11Igb5x6OXnrToDGKs6T4BfVSMREnApdV3Cks53qZ7jI/edit?usp=sharing		6	6							Not Hired							MERN	React js, MongoDB, Node js, Express.js, Java, Spring Boot	React js, MongoDB, Node js, Express.js, Java, Spring Boot	5K to 10K	Remote	6 Months	5 Days/Week (10 AM – 4 PM)																			
26-Mar-2026	3:28	Digitap	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1hAm0JA-DVpeqWYwiNgtVVacCO28xzBOW1Q3g74_AaQM/edit?gid=0#gid=0		4	4							Not Hired							Python Intern	Python	Python	18k	Bengaluru	3-6 Months	5 days / week ( 9 AM to 6 PM )																			
26-Mar-2026	5:37	ProcUrPal	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1sh4lfq-7-QTRXWpmjsMI0AAJR7Lxq4a2FecuNeJ_IGg/edit?gid=0#gid=0		10	6							Not Hired							MERN stack intern	React js, Node js, Express.js, AWS, MongoDB	Python, SQL, JavaScript	5K	Remote	3-6 months	5 days a week,9 to 6																			
27-Mar-2026	10:41	mompharmacy	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1hmG06RUdOgkUPIKaLaCIH_PKVic4j1sP-3elS_X4FMo/edit?gid=0#gid=0		4	1							Not Hired																																
27-Mar-2026	3:38	Employ Labs	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1uWlfez46Rn9FBQE2WUk9xplEVUMeXc-N1Ktl7JpFH5Q/edit?gid=0#gid=0		4	5							Not Hired																																
30-Mar-2026	11:25	HUBCITY SOFTWARES	Akshita	No Student Eligble					12	0							No Students Eligble							Web Developer Intern	React js, Node js, MongoDB , My SQL 	React js, Node js, MongoDB , My SQL 	10k - 15k 	Pune 	3-6 months	6 days a week ( 10 AM - 7 PM)																			
30-Mar-2026	4:58	Pictel AI	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1l3681ire7bxF1k4bhuwV9KJnzdL3rN_Aollhj9DKdOk/edit?gid=0#gid=0		6	4							Not Hired							Software Intern	React.js , Gen AI 	Mern , AI 	10k to 12k 	Pune 	6 months 	6 days a week ( 9 AM - 7 PM)																			
30-Mar-2026	5:13	Thaver Tech	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1Yl-4IMmU46FSlgkY745ZxqZdnDZbLUR0iDofWcms8zY/edit?gid=0#gid=0		4	4							Not Hired							Backend Development intern	Node.js , Python	React.js , java script 	10k to 25k	Remote 	6 months 	5 days a week ( 9:30 AM - 6 PM)																			
